LTER_site,local_site,year,date,block,plot,code,snow,N,temp,JGS_code,USDA_code,USDA_name,growth_habit,hits
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,1,XXW,X,X,W,ARTSCO,ARSC,Artemisia scopulorum,forb,7
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,1,XXW,X,X,W,bare,2BARE,Bare Ground,NA,3
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,1,XXW,X,X,W,BISBIS,POBI6,Polygonum bistortoides,forb,6
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,1,XXW,X,X,W,CALLEP,CALE4,Caltha leptosepala,forb,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,1,XXW,X,X,W,CARSCO,CASCS2,Carex scopulorum var. scopulorum,graminoid,6
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,1,XXW,X,X,W,CASOCC,CAOC4,Castilleja occidentalis,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,1,XXW,X,X,W,DESCAE,DECE,Deschampsia cespitosa,graminoid,51
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,1,XXW,X,X,W,GENALG,GEAL2,Gentiana algida,forb,5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,1,XXW,X,X,W,GEUROS,GEROT,Geum rossii var. turbinatum,forb,12
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,1,XXW,X,X,W,litter,2LTR,Litter,NA,7
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,1,XXW,X,X,W,moss,2MOSS,Moss,nonvascular,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,1,XXW,X,X,W,SALGLA,SAGLV,Salix glauca ssp. glauca var. villosa,shrub,2
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,1,XXW,X,X,W,STELON,STLOL7,Stellaria longipes ssp. longipes,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,1,XXW,X,X,W,TRIPAR,TRPAP,Trifolium parryi ssp. parryi,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,2,XNW,X,N,W,ARTSCO,ARSC,Artemisia scopulorum,forb,11
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,2,XNW,X,N,W,bare,2BARE,Bare Ground,NA,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,2,XNW,X,N,W,BISBIS,POBI6,Polygonum bistortoides,forb,3
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,2,XNW,X,N,W,CARSCO,CASCS2,Carex scopulorum var. scopulorum,graminoid,3
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,2,XNW,X,N,W,DESCAE,DECE,Deschampsia cespitosa,graminoid,43
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,2,XNW,X,N,W,GENALG,GEAL2,Gentiana algida,forb,12
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,2,XNW,X,N,W,GEUROS,GEROT,Geum rossii var. turbinatum,forb,16
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,2,XNW,X,N,W,litter,2LTR,Litter,NA,3
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,2,XNW,X,N,W,MERLAN,MELA3,Mertensia lanceolata,forb,2
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,2,XNW,X,N,W,RHOINT,RHIN11,Rhodiola integrifolia,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,2,XNW,X,N,W,SALGLA,SAGLV,Salix glauca ssp. glauca var. villosa,shrub,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,2,XNW,X,N,W,STELON,STLOL7,Stellaria longipes ssp. longipes,forb,5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,2,XNW,X,N,W,TRIPAR,TRPAP,Trifolium parryi ssp. parryi,forb,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,3,XNW,X,N,W,ARTSCO,ARSC,Artemisia scopulorum,forb,6
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,3,XNW,X,N,W,BISBIS,POBI6,Polygonum bistortoides,forb,3
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,3,XNW,X,N,W,CALLEP,CALE4,Caltha leptosepala,forb,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,3,XNW,X,N,W,CARSCO,CASCS2,Carex scopulorum var. scopulorum,graminoid,3
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,3,XNW,X,N,W,CASOCC,CAOC4,Castilleja occidentalis,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,3,XNW,X,N,W,DESCAE,DECE,Deschampsia cespitosa,graminoid,48
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,3,XNW,X,N,W,GENALG,GEAL2,Gentiana algida,forb,9
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,3,XNW,X,N,W,GEUROS,GEROT,Geum rossii var. turbinatum,forb,21
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,3,XNW,X,N,W,litter,2LTR,Litter,NA,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,3,XNW,X,N,W,MERLAN,MELA3,Mertensia lanceolata,forb,2
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,3,XNW,X,N,W,moss,2MOSS,Moss,nonvascular,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,3,XNW,X,N,W,POTDIV,PODI2,Potentilla diversifolia,forb,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,3,XNW,X,N,W,RHOINT,RHIN11,Rhodiola integrifolia,forb,0.5
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,3,XNW,X,N,W,SALGLA,SAGLV,Salix glauca ssp. glauca var. villosa,shrub,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,3,XNW,X,N,W,STELON,STLOL7,Stellaria longipes ssp. longipes,forb,2
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,3,XNW,X,N,W,TRIPAR,TRPAP,Trifolium parryi ssp. parryi,forb,1
,,,,,,,,,,,,,,
NWT,itex,2006,8/23/2006,1,4,XXX,X,X,X,ARTSCO,ARSC,Artemisia scopulorum,forb,6
,,,,,,,,,,,,,,
