siteID,seas,year,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,Br,pH,conduc,svol,ppt,fullChemLab,daysSample,startDate,lastDate
CO02,Summer,1984,36,93,25,0.213,0.034,0.569,0.204,0.143,0.873,0.112,0.925,-9,4.956,10.943,4289.6,34.036,5,91,6/5/1984 0:00,9/4/1984 0:00
CO02,Fall,1984,39,100,32,0.247,0.046,0.047,0.064,0.096,0.699,0.134,0.7,-9,5.149,6.735,5476.7,37.946,5,91,9/4/1984 0:00,12/4/1984 0:00
CO02,Winter,1985,26,100,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,26,0,84,12/4/1984 0:00,2/26/1985 0:00
CO02,Spring,1985,7,100,4,0.26,0.035,0.027,0.059,0.4,1.73,0.15,1.35,-9,4.67,15.3,583.9,40.056,1,98,2/26/1985 0:00,6/4/1985 0:00
CO02,Summer,1985,39,100,61,0.102,0.021,0.07,0.029,0.034,0.565,0.11,0.747,-9,4.96,9.184,5033.2,10.694,4,91,6/4/1985 0:00,9/3/1985 0:00
CO02,Fall,1985,69,100,75,0.089,0.024,0.013,0.032,0.025,0.396,0.057,0.432,-9,5.042,6.138,6843.3,32.118,9,91,9/3/1985 0:00,12/3/1985 0:00
CO02,Winter,1986,39,100,45,0.09,0.021,0.012,0.045,0.014,0.685,0.078,0.445,-9,4.967,7.41,814.9,52.094,5,91,12/3/1985 0:00,3/4/1986 0:00
CO02,Spring,1986,23,100,12,0.446,0.041,0.032,0.101,0.324,1.091,0.101,1.033,-9,6.189,8.624,2308.8,46.912,2,91,3/4/1986 0:00,6/3/1986 0:00
CO02,Summer,1986,77,100,85,0.198,0.029,0.03,0.058,0.11,1.18,0.118,0.911,-9,4.853,11.34,9145.8,17.083,10,91,6/3/1986 0:00,9/2/1986 0:00
CO02,Fall,1986,92,100,94,0.21,0.029,0.047,0.129,0.134,0.977,0.107,0.936,-9,5.096,8.576,5307.2,24.672,12,91,9/2/1986 0:00,12/2/1986 0:00
CO02,Winter,1987,92,100,100,0.16,0.025,0.026,0.181,0.076,0.686,0.099,0.615,-9,5.276,6.268,2718.4,34.748,12,91,12/2/1986 0:00,3/3/1987 0:00
CO02,Spring,1987,92,100,100,0.138,0.021,0.02,0.059,0.136,0.736,0.079,0.61,-9,5.072,7.205,8440.6,19.655,12,91,3/3/1987 0:00,6/2/1987 0:00
CO02,Summer,1987,100,100,100,0.148,0.02,0.018,0.068,0.135,0.979,0.079,0.719,-9,4.929,8.624,8050.3,15.214,12,91,6/2/1987 0:00,9/1/1987 0:00
CO02,Fall,1987,92,100,93,0.103,0.016,0.03,0.088,0.089,0.572,0.114,0.467,-9,5.144,6.311,5088.7,15.371,9,91,9/1/1987 0:00,12/1/1987 0:00
CO02,Winter,1988,46,100,59,0.105,0.014,0.022,0.083,0.054,0.494,0.093,0.36,-9,5.181,5.088,4387,59.69,6,91,12/1/1987 0:00,3/1/1988 0:00
CO02,Spring,1988,54,100,35,0.412,0.042,0.027,0.146,0.075,0.625,0.114,0.753,-9,5.475,6.586,5044.5,67.273,5,91,3/1/1988 0:00,5/31/1988 0:00
CO02,Summer,1988,54,100,48,0.312,0.046,0.085,0.108,0.091,1.609,0.152,1.576,-9,4.672,16.62,3912.6,9.739,6,91,5/31/1988 0:00,8/30/1988 0:00
CO02,Fall,1988,100,100,100,0.1,0.016,0.016,0.073,0.067,0.402,0.056,0.48,-9,5.261,4.879,4687.7,24.443,11,91,8/30/1988 0:00,11/29/1988 0:00
CO02,Winter,1989,8,100,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,53.595,0,91,11/29/1988 0:00,2/28/1989 0:00
CO02,Spring,1989,0,100,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,36.195,0,91,2/28/1989 0:00,5/30/1989 0:00
CO02,Summer,1989,69,100,81,0.159,0.022,0.024,0.054,0.372,1.251,0.105,0.857,-9,5.091,8.681,8739.3,15.772,7,91,5/30/1989 0:00,8/29/1989 0:00
