LTER_site,local_site,date,snowfence,block,snow_trt,depth_cm,notes
NWT,itex,3/18/2009,SW,1,P,70,
NWT,itex,3/18/2009,SE,3,P,80,
NWT,itex,3/18/2009,N,2,P,90,
NWT,itex,3/18/2009,SW,1,X,0,
NWT,itex,3/18/2009,SE,3,X,0,
NWT,itex,3/18/2009,N,2,X,10,
NWT,itex,4/28/2009,SW,1,P,80,
NWT,itex,4/28/2009,SE,3,P,100,
NWT,itex,4/28/2009,N,2,P,100,
NWT,itex,4/28/2009,SW,1,X,40,
NWT,itex,4/28/2009,SE,3,X,70,
NWT,itex,4/28/2009,N,2,X,70,
NWT,itex,11/17/2009,SW,1,P,80,
NWT,itex,11/17/2009,SE,3,P,80,
NWT,itex,11/17/2009,N,2,P,80,
NWT,itex,11/17/2009,SW,1,X,20,
NWT,itex,11/17/2009,SE,3,X,20,
NWT,itex,11/17/2009,N,2,X,20,
NWT,itex,12/1/2009,SW,1,P,80,
NWT,itex,12/1/2009,SE,3,P,80,
NWT,itex,12/1/2009,N,2,P,70,
NWT,itex,12/1/2009,SW,1,X,20,
NWT,itex,12/1/2009,SE,3,X,10,
NWT,itex,12/1/2009,N,2,X,40,
NWT,itex,1/12/2010,SW,1,P,80,
NWT,itex,1/12/2010,SE,3,P,70,
NWT,itex,1/12/2010,N,2,P,70,
NWT,itex,1/12/2010,SW,1,X,20,
NWT,itex,1/12/2010,SE,3,X,0,
NWT,itex,1/12/2010,N,2,X,10,
NWT,itex,2/2/2010,SW,1,P,80,
NWT,itex,2/2/2010,SE,3,P,70,
NWT,itex,2/2/2010,N,2,P,80,
NWT,itex,2/2/2010,SW,1,X,10,
NWT,itex,2/2/2010,SE,3,X,0,
NWT,itex,2/2/2010,N,2,X,5,
NWT,itex,2/16/2010,SW,1,P,80,
NWT,itex,2/16/2010,SE,3,P,80,
NWT,itex,2/16/2010,N,2,P,80,
NWT,itex,2/16/2010,SW,1,X,20,
NWT,itex,2/16/2010,SE,3,X,20,
NWT,itex,2/16/2010,N,2,X,20,
NWT,itex,3/2/2010,SW,1,P,90,
NWT,itex,3/2/2010,SE,3,P,70,
NWT,itex,3/2/2010,N,2,P,80,
NWT,itex,3/2/2010,SW,1,X,40,
NWT,itex,3/2/2010,SE,3,X,40,
NWT,itex,3/2/2010,N,2,X,30,
NWT,itex,3/9/2010,SW,1,P,90,
NWT,itex,3/9/2010,SE,3,P,70,
NWT,itex,3/9/2010,N,2,P,80,
NWT,itex,3/9/2010,SW,1,X,40,
NWT,itex,3/9/2010,SE,3,X,30,
NWT,itex,3/9/2010,N,2,X,40,
NWT,itex,3/16/2010,SW,1,P,100,
NWT,itex,3/16/2010,SE,3,P,70,
NWT,itex,3/16/2010,N,2,P,90,
NWT,itex,3/16/2010,SW,1,X,40,
NWT,itex,3/16/2010,SE,3,X,30,
NWT,itex,3/16/2010,N,2,X,40,
NWT,itex,4/15/2010,SW,1,P,80,
NWT,itex,4/15/2010,SE,3,P,70,
NWT,itex,4/15/2010,N,2,P,70,
NWT,itex,4/15/2010,SW,1,X,60,
NWT,itex,4/15/2010,SE,3,X,40,
NWT,itex,4/15/2010,N,2,X,50,
NWT,itex,4/20/2010,SW,1,P,80,
NWT,itex,4/20/2010,SE,3,P,70,
NWT,itex,4/20/2010,N,2,P,70,
NWT,itex,4/20/2010,SW,1,X,50,
NWT,itex,4/20/2010,SE,3,X,40,
NWT,itex,4/20/2010,N,2,X,40,
NWT,itex,4/27/2010,SW,1,P,80,
NWT,itex,4/27/2010,SE,3,P,80,
NWT,itex,4/27/2010,N,2,P,80,
NWT,itex,4/27/2010,SW,1,X,80,
NWT,itex,4/27/2010,SE,3,X,80,
NWT,itex,4/27/2010,N,2,X,80,
NWT,itex,5/18/2010,SW,1,P,100,
NWT,itex,5/18/2010,SE,3,P,100,
NWT,itex,5/18/2010,N,2,P,110,
NWT,itex,5/18/2010,SW,1,X,100,
NWT,itex,5/18/2010,SE,3,X,100,
NWT,itex,5/18/2010,N,2,X,110,
NWT,itex,5/25/2010,SW,1,P,60,
NWT,itex,5/25/2010,SE,3,P,60,
NWT,itex,5/25/2010,N,2,P,100,
NWT,itex,5/25/2010,SW,1,X,70,
NWT,itex,5/25/2010,SE,3,X,70,
NWT,itex,5/25/2010,N,2,X,100,
NWT,itex,6/1/2010,SW,1,P,20,
NWT,itex,6/1/2010,SE,3,P,0,
NWT,itex,6/1/2010,N,2,P,50,
NWT,itex,6/1/2010,SW,1,X,40,
NWT,itex,6/1/2010,SE,3,X,10,
NWT,itex,6/1/2010,N,2,X,120,
NWT,itex,11/23/2010,SW,1,P,90,
NWT,itex,11/23/2010,SE,3,P,100,
NWT,itex,11/23/2010,N,2,P,120,
NWT,itex,11/23/2010,SW,1,X,20,
NWT,itex,11/23/2010,SE,3,X,40,
NWT,itex,11/23/2010,N,2,X,40,
NWT,itex,12/14/2010,SW,1,P,100,
NWT,itex,12/14/2010,SE,3,P,90,
NWT,itex,12/14/2010,N,2,P,20,
NWT,itex,12/14/2010,SW,1,X,20,
NWT,itex,12/14/2010,SE,3,X,40,
NWT,itex,12/14/2010,N,2,X,40,
NWT,itex,1/24/2011,SW,1,P,100,
NWT,itex,1/24/2011,SE,3,P,90,
NWT,itex,1/24/2011,N,2,P,100,
NWT,itex,1/24/2011,SW,1,X,999,
NWT,itex,1/24/2011,SE,3,X,999,
NWT,itex,1/24/2011,N,2,X,999,
NWT,itex,2/1/2011,SW,1,P,120,
NWT,itex,2/1/2011,SE,3,P,100,
NWT,itex,2/1/2011,N,2,P,120,
