"","alpha_{to, from}","Estimate","SE","CI_025","CI_975","priorLo","priorHi","treat"
"1-1","DOM, DOM",-0.8098,0.1298,-0.9904,-0.5111,-1,0,"XXX"
"2-1","DOM, SUBDOM",-0.3454,0.1944,-0.7489,-0.0287,-1,0,"XXX"
"3-1","DOM, MODERATE",-0.7287,0.213,-0.9909,-0.199,-1,0,"XXX"
"4-1","DOM, RARE",-0.4764,0.2809,-0.9668,-0.02413,-1,0,"XXX"
"2-2","SUBDOM, DOM",-0.2814,0.1818,-0.6824,-0.01586,-1,0,"XXX"
"5-2","SUBDOM, SUBDOM",-0.8351,0.133,-0.9944,-0.5074,-1,0,"XXX"
"6-2","SUBDOM, MODERATE",-0.3289,0.238,-0.877,-0.01206,-1,0,"XXX"
"7-2","SUBDOM, RARE",-0.4155,0.2743,-0.9511,-0.01723,-1,0,"XXX"
"3-3","MODERATE, DOM",-0.5537,0.2543,-0.9729,-0.06657,-1,0,"XXX"
"6-3","MODERATE, SUBDOM",-0.401,0.256,-0.9256,-0.02062,-1,0,"XXX"
"8-3","MODERATE, MODERATE",-0.7539,0.2085,-0.9924,-0.2186,-1,0,"XXX"
"9-3","MODERATE, RARE",-0.3861,0.2701,-0.9379,-0.01322,-1,0,"XXX"
"4-4","RARE, DOM",-0.5083,0.2896,-0.9767,-0.02647,-1,0,"XXX"
"7-4","RARE, SUBDOM",-0.495,0.2887,-0.9741,-0.02647,-1,0,"XXX"
"9-4","RARE, MODERATE",-0.4911,0.2892,-0.9724,-0.02059,-1,0,"XXX"
"10-4","RARE, RARE",-0.5012,0.2868,-0.9749,-0.02631,-1,0,"XXX"
"1-11","DOM, DOM",-0.8007,0.1367,-0.9889,-0.474,-1,0,"XXW"
"2-11","DOM, SUBDOM",-0.7335,0.1962,-0.9879,-0.2482,-1,0,"XXW"
"3-11","DOM, MODERATE",-0.6883,0.2354,-0.9887,-0.1346,-1,0,"XXW"
"4-11","DOM, RARE",-0.5212,0.2874,-0.9773,-0.02842,-1,0,"XXW"
"2-21","SUBDOM, DOM",-0.2912,0.177,-0.6712,-0.02125,-1,0,"XXW"
"5-21","SUBDOM, SUBDOM",-0.7901,0.1624,-0.9925,-0.4035,-1,0,"XXW"
"6-21","SUBDOM, MODERATE",-0.5495,0.2657,-0.9772,-0.04807,-1,0,"XXW"
"7-21","SUBDOM, RARE",-0.5451,0.2851,-0.9799,-0.03261,-1,0,"XXW"
"3-31","MODERATE, DOM",-0.3217,0.2231,-0.8433,-0.01445,-1,0,"XXW"
"6-31","MODERATE, SUBDOM",-0.5062,0.2763,-0.9727,-0.0317,-1,0,"XXW"
